cluster,puntaje_global_mean,puntaje_global_std,puntaje_global_count,punt_razona_cuantitativa_mean,punt_lectura_critica_mean,punt_ingles_mean,prop_p75_plus_mean,n_presentaciones_sum,n_presentaciones_mean
0,130.15,15.02,268,129.6,132.78,136.25,0.24,2472960,9227.46
1,24.27,23.96,68,23.63,24.4,24.44,0.01,175904,2586.82
