cluster,puntaje_global_mean,puntaje_global_std,puntaje_global_count,punt_razona_cuantitativa_mean,punt_lectura_critica_mean,punt_ingles_mean,prop_p75_plus_mean,n_presentaciones_sum,n_presentaciones_mean,total_matriculados_sum,total_matriculados_mean,total_graduados_sum,total_graduados_mean,es_acreditada_mean
0,130.33,14.73,267,129.77,132.99,136.45,0.25,2472798,9261.42,1959044.62,7337.25,388934.44,1456.68,0.48
1,25.08,24.7,69,24.51,25.16,25.32,0.01,176066,2551.68,1513074.45,21928.62,286936.59,4158.5,0.29
