cluster,puntaje_global,punt_razona_cuantitativa,punt_lectura_critica,punt_ingles,n_presentaciones,prop_p75_plus,total_matriculados,total_graduados,es_acreditada
0,0.487,0.47,0.493,0.462,-0.175,-0.009,-0.182,-0.182,-0.891
1,-2.149,-2.131,-2.14,-2.109,-0.537,-1.072,-0.182,-0.183,-0.891
