cluster,z_median_puntaje_global,z_median_punt_razona_cuantitativa,z_median_punt_lectura_critica,z_median_punt_ingles,z_median_prop_p75_plus,n_presentaciones_sum,n_presentaciones_mean,n_presentaciones_median,n_presentaciones_std,n_presentaciones_count,total_matriculados_sum,total_matriculados_mean,total_matriculados_median,total_matriculados_std,total_matriculados_count,total_graduados_sum,total_graduados_mean,total_graduados_median,total_graduados_std,total_graduados_count,n_ies,n_acreditadas,prop_acreditadas,porc_acreditadas
0,0.487,0.47,0.493,0.462,-0.009,2472798,9261.42,5409.0,13963.24,267,1959044.62,7337.25,3878.08,11076.26,267,388934.44,1456.68,808.4,2003.22,267,267,129,0.483,48.3
1,-2.149,-2.131,-2.14,-2.109,-1.072,176066,2551.68,296.0,13591.03,69,1513074.45,21928.62,3878.08,74263.87,69,286936.59,4158.5,805.9,13886.94,69,69,20,0.29,29.0
